 Wed, 24 Jan 2018 11:47:47   5.636600 5.404100  4.838700 22.619100  23.369500 33.738700  5.177900 5.230100  7.631800 4.764500  
 Wed, 24 Jan 2018 11:47:52   5.631400 5.396900  4.838800 22.816400  23.535700 34.228900  5.178100 5.229900  7.631600 4.764900  
 Wed, 24 Jan 2018 11:47:57   5.628800 5.388800  4.838800 22.975400  23.673400 34.694700  5.178200 5.230900  7.631400 4.764800  
 Wed, 24 Jan 2018 11:48:02   5.628500 5.397300  4.838700 23.138600  23.790400 35.133500  5.178400 5.231600  7.630900 4.765200  
 Wed, 24 Jan 2018 11:48:07   5.635200 5.400000  4.838900 23.282400  23.891900 35.561700  5.178600 5.232100  7.630900 4.765400  
 Wed, 24 Jan 2018 11:48:12   5.631000 5.409300  4.838800 23.405200  23.981500 35.968500  5.178800 5.232800  7.630800 4.765300  
 Wed, 24 Jan 2018 11:48:17   5.623500 5.380600  4.838900 23.511900  24.086600 36.358100  5.179000 5.233500  7.630400 4.765400  
 Wed, 24 Jan 2018 11:48:22   5.636700 5.398200  4.838800 23.605300  24.188400 36.729500  5.179200 5.234700  7.630200 4.765700  
 Wed, 24 Jan 2018 11:48:27   5.636300 5.397900  4.839000 23.688300  24.281400 37.090600  5.179300 5.236000  7.630000 4.765700  
 Wed, 24 Jan 2018 11:48:32   5.636600 5.413100  4.838800 23.762300  24.366500 37.437300  5.179600 5.236900  7.629600 4.766000  
 Wed, 24 Jan 2018 11:48:37   5.636100 5.405900  4.838900 23.829400  24.445400 37.774900  5.179800 5.237700  7.629300 4.766000  
 Wed, 24 Jan 2018 11:48:42   5.626600 5.396700  4.839000 23.890100  24.518900 38.099400  5.180000 5.238400  7.629000 4.766300  
 Wed, 24 Jan 2018 11:48:47   5.626900 5.383700  4.839000 23.945500  24.587200 38.405200  5.180200 5.239200  7.628900 4.766600  
 Wed, 24 Jan 2018 11:48:52   5.628200 5.389800  4.839000 23.996400  24.651400 38.711800  5.180400 5.239600  7.628600 4.766600  
 Wed, 24 Jan 2018 11:48:57   5.634800 5.405400  4.839000 24.061400  24.711700 39.004300  5.180600 5.240200  7.628400 4.766800  
 Wed, 24 Jan 2018 11:49:02   5.624800 5.421300  4.839100 24.122900  24.768400 39.287700  5.180800 5.240200  7.628200 4.767200  
 Wed, 24 Jan 2018 11:49:07   5.630000 5.392600  4.838900 24.180200  24.822300 39.565000  5.181000 5.240400  7.627900 4.767400  
 Wed, 24 Jan 2018 11:49:12   5.624700 5.397100  4.839100 24.233400  24.873300 39.835600  5.181300 5.240400  7.627600 4.767500  
 Wed, 24 Jan 2018 11:49:17   5.634300 5.374700  4.839100 24.283400  24.921600 40.097100  5.181500 5.239600  7.627400 4.767700  
 Wed, 24 Jan 2018 11:49:22   5.624800 5.397700  4.839300 24.330000  24.972500 40.349400  5.181700 5.239900  7.627100 4.767700  
 Wed, 24 Jan 2018 11:49:27   5.624500 5.385900  4.839300 24.373900  25.027400 40.599800  5.181900 5.240700  7.626900 4.768000  
 Wed, 24 Jan 2018 11:49:32   5.628600 5.415800  4.839300 24.415300  25.096800 40.839700  5.182100 5.241200  7.626700 4.768000  
 Wed, 24 Jan 2018 11:49:37   5.628900 5.391200  4.839500 24.454400  25.163100 41.075600  5.182300 5.241300  7.626300 4.768200  
 Wed, 24 Jan 2018 11:49:42   5.621800 5.397500  4.839500 24.491400  25.226900 41.306600  5.182500 5.241000  7.626300 4.768300  
 Wed, 24 Jan 2018 11:49:47   5.634200 5.385900  4.839500 24.526500  25.287700 41.529800  5.182700 5.241200  7.625900 4.768600  
 Wed, 24 Jan 2018 11:49:52   5.625600 5.407100  4.839300 24.559900  25.346300 41.753700  5.183000 5.241200  7.625600 4.768800  
 Wed, 24 Jan 2018 11:49:57   5.626200 5.410200  4.839400 24.591300  25.402600 41.968200  5.183200 5.241500  7.625400 4.768800  
 Wed, 24 Jan 2018 11:50:02   5.629500 5.397500  4.839300 24.621300  25.456900 41.664600  5.183400 5.241600  7.625100 4.769100  
 Wed, 24 Jan 2018 11:50:07   5.624200 5.401200  4.839600 24.650100  25.508700 42.192700  5.183600 5.241600  7.624900 4.769200  
 Wed, 24 Jan 2018 11:50:13   5.626400 5.409900  4.839600 24.677300  25.558800 42.404800  5.183800 5.242100  7.624500 4.769300  
 Wed, 24 Jan 2018 11:50:18   5.627900 5.370200  4.839500 24.703400  25.607100 42.607000  5.184000 5.243200  7.624200 4.769500  
 Wed, 24 Jan 2018 11:50:23   5.623400 5.418800  4.839600 24.728400  25.654200 42.803400  5.184200 5.243600  7.624200 4.769700  
 Wed, 24 Jan 2018 11:50:28   5.620500 5.401200  4.839600 24.752300  25.699300 42.996100  5.184400 5.244400  7.623800 4.769900  
 Wed, 24 Jan 2018 11:50:33   5.623900 5.409200  4.839800 24.775200  25.742700 43.184100  5.184600 5.244700  7.623600 4.770100  
 Wed, 24 Jan 2018 11:50:38   5.630600 5.389400  4.839700 24.797000  25.784700 43.367000  5.184800 5.244600  7.623400 4.770300  
 Wed, 24 Jan 2018 11:50:43   5.625900 5.385700  4.839800 24.818100  25.825300 43.550500  5.185000 5.245000  7.623200 4.770400  
 Wed, 24 Jan 2018 11:50:48   5.623700 5.382600  4.839800 24.838500  25.864800 43.729600  5.185200 5.245200  7.622800 4.770700  
 Wed, 24 Jan 2018 11:50:53   5.621500 5.407700  4.839900 24.858000  25.903100 43.903200  5.185300 5.244900  7.622600 4.770800  
