 Wed, 24 Jan 2018 11:46:12   4.025600 7.203900  
 Wed, 24 Jan 2018 11:46:14   4.026200 7.203900  
 Wed, 24 Jan 2018 11:46:16   4.025800 7.203700  
 Wed, 24 Jan 2018 11:46:17   4.024600 7.203700  
 Wed, 24 Jan 2018 11:46:19   4.024600 7.203600  
 Wed, 24 Jan 2018 11:46:21   4.025200 7.203500  
 Wed, 24 Jan 2018 11:46:23   4.024800 7.203400  
 Wed, 24 Jan 2018 11:46:25   4.024100 7.203300  
 Wed, 24 Jan 2018 11:46:26   4.025100 7.203500  
 Wed, 24 Jan 2018 11:46:28   4.025700 7.203600  
 Wed, 24 Jan 2018 11:46:30   4.025000 7.203700  
 Wed, 24 Jan 2018 11:46:32   4.024800 7.203700  
 Wed, 24 Jan 2018 11:46:34   4.025800 7.203700  
 Wed, 24 Jan 2018 11:46:35   4.026300 7.203700  
 Wed, 24 Jan 2018 11:46:37   4.026300 7.204000  
 Wed, 24 Jan 2018 11:46:39   4.026100 7.204100  
 Wed, 24 Jan 2018 11:46:41   4.027400 7.204200  
 Wed, 24 Jan 2018 11:46:43   4.028400 7.204200  
 Wed, 24 Jan 2018 11:46:44   4.027900 7.204500  
 Wed, 24 Jan 2018 11:46:46   4.028000 7.204700  
 Wed, 24 Jan 2018 11:46:48   4.029300 7.204800  
 Wed, 24 Jan 2018 11:46:50   4.029100 7.205000  
 Wed, 24 Jan 2018 11:46:52   4.028800 7.205000  
 Wed, 24 Jan 2018 11:46:53   4.030000 7.205200  
 Wed, 24 Jan 2018 11:46:55   4.030700 7.205300  
 Wed, 24 Jan 2018 11:46:57   4.030300 7.205500  
 Wed, 24 Jan 2018 11:46:59   4.030600 7.205600  
 Wed, 24 Jan 2018 11:47:01   4.031800 7.205600  
 Wed, 24 Jan 2018 11:47:02   4.032000 7.205800  
 Wed, 24 Jan 2018 11:47:04   4.031700 7.206000  
 Wed, 24 Jan 2018 11:47:06   4.032800 7.206200  
 Wed, 24 Jan 2018 11:47:08   4.034200 7.206500  
 Wed, 24 Jan 2018 11:47:10   4.034000 7.206500  
 Wed, 24 Jan 2018 11:47:11   4.033900 7.206900  
 Wed, 24 Jan 2018 11:47:13   4.035400 7.207000  
 Wed, 24 Jan 2018 11:47:15   4.036400 7.207100  
 Wed, 24 Jan 2018 11:47:17   4.036600 7.207500  
 Wed, 24 Jan 2018 11:47:19   4.037100 7.207900  
 Wed, 24 Jan 2018 11:47:20   4.037900 7.207800  
 Wed, 24 Jan 2018 11:47:22   4.037800 7.208000  
 Wed, 24 Jan 2018 11:47:24   4.037300 7.208200  
 Wed, 24 Jan 2018 11:47:26   4.038100 7.208200  
 Wed, 24 Jan 2018 11:47:28   4.038800 7.208200  
 Wed, 24 Jan 2018 11:47:29   4.038400 7.208400  
 Wed, 24 Jan 2018 11:47:31   4.038200 7.208500  
 Wed, 24 Jan 2018 11:47:33   4.039100 7.208500  
 Wed, 24 Jan 2018 11:47:35   4.038800 7.208500  
 Wed, 24 Jan 2018 11:47:37   4.038000 7.208400  
 Wed, 24 Jan 2018 11:47:38   4.038400 7.208600  
 Wed, 24 Jan 2018 11:47:40   4.039200 7.208500  
 Wed, 24 Jan 2018 11:47:42   4.038700 7.208500  
 Wed, 24 Jan 2018 11:47:44   4.037800 7.208500  
 Wed, 24 Jan 2018 11:47:46   4.038100 7.208500  
 Wed, 24 Jan 2018 11:47:47   4.038000 7.208300  
 Wed, 24 Jan 2018 11:47:49   4.037200 7.208300  
 Wed, 24 Jan 2018 11:47:51   4.036900 7.208300  
 Wed, 24 Jan 2018 11:47:53   4.038100 7.208300  
 Wed, 24 Jan 2018 11:47:55   4.038400 7.208400  
 Wed, 24 Jan 2018 11:47:57   4.038100 7.208400  
 Wed, 24 Jan 2018 11:47:58   4.038800 7.208600  
 Wed, 24 Jan 2018 11:48:00   4.039700 7.208700  
 Wed, 24 Jan 2018 11:48:02   4.039300 7.208900  
 Wed, 24 Jan 2018 11:48:04   4.039000 7.209000  
 Wed, 24 Jan 2018 11:48:06   4.040200 7.209000  
 Wed, 24 Jan 2018 11:48:07   4.040700 7.209000  
 Wed, 24 Jan 2018 11:48:09   4.039900 7.209100  
 Wed, 24 Jan 2018 11:48:11   4.040000 7.209300  
 Wed, 24 Jan 2018 11:48:13   4.041100 7.209300  
 Wed, 24 Jan 2018 11:48:15   4.041600 7.209400  
 Wed, 24 Jan 2018 11:48:16   4.041600 7.209500  
 Wed, 24 Jan 2018 11:48:18   4.041600 7.209700  
 Wed, 24 Jan 2018 11:48:20   4.042900 7.209900  
 Wed, 24 Jan 2018 11:48:22   4.043800 7.210000  
 Wed, 24 Jan 2018 11:48:24   4.043500 7.210100  
 Wed, 24 Jan 2018 11:48:25   4.043800 7.210500  
 Wed, 24 Jan 2018 11:48:27   4.045100 7.210600  
 Wed, 24 Jan 2018 11:48:29   4.045500 7.210800  
 Wed, 24 Jan 2018 11:48:31   4.045100 7.211000  
 Wed, 24 Jan 2018 11:48:33   4.045800 7.211100  
 Wed, 24 Jan 2018 11:48:34   4.047000 7.211200  
 Wed, 24 Jan 2018 11:48:36   4.046800 7.211300  
 Wed, 24 Jan 2018 11:48:38   4.046300 7.211500  
 Wed, 24 Jan 2018 11:48:40   4.047000 7.211500  
 Wed, 24 Jan 2018 11:48:42   4.047600 7.211500  
 Wed, 24 Jan 2018 11:48:43   4.047400 7.211800  
 Wed, 24 Jan 2018 11:48:45   4.047700 7.212000  
 Wed, 24 Jan 2018 11:48:47   4.048700 7.212000  
 Wed, 24 Jan 2018 11:48:49   4.048700 7.212000  
 Wed, 24 Jan 2018 11:48:51   4.048000 7.212200  
 Wed, 24 Jan 2018 11:48:52   4.048500 7.212200  
 Wed, 24 Jan 2018 11:48:54   4.049100 7.212100  
 Wed, 24 Jan 2018 11:48:56   4.048600 7.212200  
 Wed, 24 Jan 2018 11:48:58   4.048300 7.212400  
 Wed, 24 Jan 2018 11:49:00   4.049400 7.212400  
 Wed, 24 Jan 2018 11:49:01   4.049100 7.212300  
 Wed, 24 Jan 2018 11:49:03   4.048300 7.212400  
 Wed, 24 Jan 2018 11:49:05   4.048900 7.212500  
 Wed, 24 Jan 2018 11:49:07   4.049300 7.212500  
 Wed, 24 Jan 2018 11:49:09   4.048300 7.212400  
 Wed, 24 Jan 2018 11:49:10   4.048000 7.212500  
 Wed, 24 Jan 2018 11:49:12   4.048600 7.212300  
 Wed, 24 Jan 2018 11:49:14   4.048000 7.212100  
 Wed, 24 Jan 2018 11:49:16   4.046700 7.212100  
 Wed, 24 Jan 2018 11:49:18   4.046800 7.212100  
 Wed, 24 Jan 2018 11:49:19   4.047600 7.211900  
 Wed, 24 Jan 2018 11:49:21   4.047400 7.212000  
 Wed, 24 Jan 2018 11:49:23   4.047200 7.212100  
 Wed, 24 Jan 2018 11:49:25   4.048200 7.212200  
 Wed, 24 Jan 2018 11:49:27   4.048900 7.212200  
 Wed, 24 Jan 2018 11:49:28   4.048400 7.212400  
 Wed, 24 Jan 2018 11:49:30   4.048500 7.212500  
 Wed, 24 Jan 2018 11:49:32   4.049700 7.212600  
 Wed, 24 Jan 2018 11:49:34   4.049600 7.212500  
 Wed, 24 Jan 2018 11:49:36   4.048700 7.212700  
 Wed, 24 Jan 2018 11:49:37   4.048700 7.212700  
 Wed, 24 Jan 2018 11:49:39   4.049000 7.212500  
 Wed, 24 Jan 2018 11:49:41   4.048200 7.212400  
 Wed, 24 Jan 2018 11:49:43   4.047400 7.212400  
 Wed, 24 Jan 2018 11:49:45   4.048200 7.212400  
 Wed, 24 Jan 2018 11:49:46   4.048700 7.212300  
 Wed, 24 Jan 2018 11:49:48   4.048100 7.212500  
 Wed, 24 Jan 2018 11:49:50   4.048000 7.212500  
 Wed, 24 Jan 2018 11:49:52   4.049100 7.212500  
 Wed, 24 Jan 2018 11:49:54   4.049000 7.212400  
 Wed, 24 Jan 2018 11:49:55   4.048200 7.212500  
 Wed, 24 Jan 2018 11:49:57   4.048000 7.212500  
 Wed, 24 Jan 2018 11:49:59   4.048700 7.212500  
 Wed, 24 Jan 2018 11:50:01   4.049100 7.212000  
 Wed, 24 Jan 2018 11:50:03   4.048300 7.212600  
 Wed, 24 Jan 2018 11:50:04   4.048100 7.212600  
 Wed, 24 Jan 2018 11:50:06   4.049100 7.212600  
 Wed, 24 Jan 2018 11:50:08   4.049000 7.212500  
 Wed, 24 Jan 2018 11:50:10   4.048300 7.212600  
 Wed, 24 Jan 2018 11:50:12   4.049000 7.212700  
 Wed, 24 Jan 2018 11:50:13   4.050100 7.212700  
 Wed, 24 Jan 2018 11:50:15   4.050300 7.213000  
 Wed, 24 Jan 2018 11:50:17   4.049900 7.213100  
 Wed, 24 Jan 2018 11:50:19   4.051000 7.213300  
 Wed, 24 Jan 2018 11:50:21   4.051700 7.213300  
 Wed, 24 Jan 2018 11:50:22   4.051100 7.213400  
 Wed, 24 Jan 2018 11:50:24   4.051300 7.213600  
 Wed, 24 Jan 2018 11:50:26   4.052400 7.213600  
 Wed, 24 Jan 2018 11:50:28   4.052300 7.213600  
 Wed, 24 Jan 2018 11:50:30   4.051600 7.213700  
 Wed, 24 Jan 2018 11:50:31   4.052100 7.213800  
 Wed, 24 Jan 2018 11:50:33   4.052800 7.213800  
